Type,Count,Size,Threshold,Architecture,Mode
Disassembled,3541846,2,95,CS_ARCH_X86,CS_MODE_64
Inflated,0,2,95,CS_ARCH_X86,CS_MODE_64
Both,0,2,95,CS_ARCH_X86,CS_MODE_64
Total,10000000,2,95,CS_ARCH_PPC,CS_MODE_32
Disassembled,0,2,95,CS_ARCH_PPC,CS_MODE_32
Inflated,0,2,95,CS_ARCH_PPC,CS_MODE_32
Both,0,2,95,CS_ARCH_PPC,CS_MODE_32
Total,10000000,2,95,CS_ARCH_PPC,CS_MODE_64
Disassembled,0,2,95,CS_ARCH_PPC,CS_MODE_64
Inflated,0,2,95,CS_ARCH_PPC,CS_MODE_64
Both,0,2,95,CS_ARCH_PPC,CS_MODE_64
Total,10000000,2,95,CS_ARCH_PPC,CS_MODE_QPX
Disassembled,0,2,95,CS_ARCH_PPC,CS_MODE_QPX
Inflated,0,2,95,CS_ARCH_PPC,CS_MODE_QPX
Both,0,2,95,CS_ARCH_PPC,CS_MODE_QPX
Total,10000000,2,95,CS_ARCH_PPC,CS_MODE_PS
Disassembled,0,2,95,CS_ARCH_PPC,CS_MODE_PS
Inflated,0,2,95,CS_ARCH_PPC,CS_MODE_PS
Both,0,2,95,CS_ARCH_PPC,CS_MODE_PS
Total,10000000,2,95,CS_ARCH_SYSZ,CS_MODE_LITTLE_ENDIAN
Disassembled,2005006,2,95,CS_ARCH_SYSZ,CS_MODE_LITTLE_ENDIAN
Inflated,0,2,95,CS_ARCH_SYSZ,CS_MODE_LITTLE_ENDIAN
Both,0,2,95,CS_ARCH_SYSZ,CS_MODE_LITTLE_ENDIAN
Total,10000000,2,95,CS_ARCH_XCORE,CS_MODE_LITTLE_ENDIAN
Disassembled,9040608,2,95,CS_ARCH_XCORE,CS_MODE_LITTLE_ENDIAN
Inflated,0,2,95,CS_ARCH_XCORE,CS_MODE_LITTLE_ENDIAN
Both,0,2,95,CS_ARCH_XCORE,CS_MODE_LITTLE_ENDIAN
Total,10000000,2,95,CS_ARCH_M68K,CS_MODE_LITTLE_ENDIAN
Disassembled,6958721,2,95,CS_ARCH_M68K,CS_MODE_LITTLE_ENDIAN
Inflated,0,2,95,CS_ARCH_M68K,CS_MODE_LITTLE_ENDIAN
Both,0,2,95,CS_ARCH_M68K,CS_MODE_LITTLE_ENDIAN
Total,10000000,2,95,CS_ARCH_M68K,CS_MODE_M68K_000
Disassembled,6959558,2,95,CS_ARCH_M68K,CS_MODE_M68K_000
Inflated,0,2,95,CS_ARCH_M68K,CS_MODE_M68K_000
Both,0,2,95,CS_ARCH_M68K,CS_MODE_M68K_000
Total,10000000,2,95,CS_ARCH_M68K,CS_MODE_M68K_010
Disassembled,6968229,2,95,CS_ARCH_M68K,CS_MODE_M68K_010
Inflated,0,2,95,CS_ARCH_M68K,CS_MODE_M68K_010
Both,0,2,95,CS_ARCH_M68K,CS_MODE_M68K_010
Total,10000000,2,95,CS_ARCH_M68K,CS_MODE_M68K_020
Disassembled,7441979,2,95,CS_ARCH_M68K,CS_MODE_M68K_020
Inflated,0,2,95,CS_ARCH_M68K,CS_MODE_M68K_020
Both,0,2,95,CS_ARCH_M68K,CS_MODE_M68K_020
Total,10000000,2,95,CS_ARCH_M68K,CS_MODE_M68K_030
Disassembled,7439633,2,95,CS_ARCH_M68K,CS_MODE_M68K_030
Inflated,0,2,95,CS_ARCH_M68K,CS_MODE_M68K_030
Both,0,2,95,CS_ARCH_M68K,CS_MODE_M68K_030
Total,10000000,2,95,CS_ARCH_M68K,CS_MODE_M68K_040
Disassembled,7475699,2,95,CS_ARCH_M68K,CS_MODE_M68K_040
Inflated,0,2,95,CS_ARCH_M68K,CS_MODE_M68K_040
Both,0,2,95,CS_ARCH_M68K,CS_MODE_M68K_040
Total,10000000,2,95,CS_ARCH_M68K,CS_MODE_M68K_060
Disassembled,7471886,2,95,CS_ARCH_M68K,CS_MODE_M68K_060
Inflated,0,2,95,CS_ARCH_M68K,CS_MODE_M68K_060
Both,0,2,95,CS_ARCH_M68K,CS_MODE_M68K_060
Total,10000000,2,95,CS_ARCH_TMS320C64X,CS_MODE_LITTLE_ENDIAN
Disassembled,0,2,95,CS_ARCH_TMS320C64X,CS_MODE_LITTLE_ENDIAN
Inflated,0,2,95,CS_ARCH_TMS320C64X,CS_MODE_LITTLE_ENDIAN
Both,0,2,95,CS_ARCH_TMS320C64X,CS_MODE_LITTLE_ENDIAN
Total,10000000,2,95,CS_ARCH_M680X,CS_MODE_M680X_6301
Disassembled,10000000,2,95,CS_ARCH_M680X,CS_MODE_M680X_6301
Inflated,0,2,95,CS_ARCH_M680X,CS_MODE_M680X_6301
Both,0,2,95,CS_ARCH_M680X,CS_MODE_M680X_6301
Total,10000000,2,95,CS_ARCH_M680X,CS_MODE_M680X_6309
Disassembled,10000000,2,95,CS_ARCH_M680X,CS_MODE_M680X_6309
Inflated,0,2,95,CS_ARCH_M680X,CS_MODE_M680X_6309
Both,0,2,95,CS_ARCH_M680X,CS_MODE_M680X_6309
Total,10000000,2,95,CS_ARCH_M680X,CS_MODE_M680X_6800
Disassembled,10000000,2,95,CS_ARCH_M680X,CS_MODE_M680X_6800
Inflated,0,2,95,CS_ARCH_M680X,CS_MODE_M680X_6800
Both,0,2,95,CS_ARCH_M680X,CS_MODE_M680X_6800
Total,10000000,2,95,CS_ARCH_M680X,CS_MODE_M680X_6801
Disassembled,10000000,2,95,CS_ARCH_M680X,CS_MODE_M680X_6801
Inflated,0,2,95,CS_ARCH_M680X,CS_MODE_M680X_6801
Both,0,2,95,CS_ARCH_M680X,CS_MODE_M680X_6801
Total,10000000,2,95,CS_ARCH_M680X,CS_MODE_M680X_6805
Disassembled,10000000,2,95,CS_ARCH_M680X,CS_MODE_M680X_6805
Inflated,0,2,95,CS_ARCH_M680X,CS_MODE_M680X_6805
Both,0,2,95,CS_ARCH_M680X,CS_MODE_M680X_6805
Total,10000000,2,95,CS_ARCH_M680X,CS_MODE_M680X_6808
Disassembled,10000000,2,95,CS_ARCH_M680X,CS_MODE_M680X_6808
Inflated,0,2,95,CS_ARCH_M680X,CS_MODE_M680X_6808
Both,0,2,95,CS_ARCH_M680X,CS_MODE_M680X_6808
Total,10000000,2,95,CS_ARCH_M680X,CS_MODE_M680X_6809
Disassembled,10000000,2,95,CS_ARCH_M680X,CS_MODE_M680X_6809
Inflated,0,2,95,CS_ARCH_M680X,CS_MODE_M680X_6809
Both,0,2,95,CS_ARCH_M680X,CS_MODE_M680X_6809
Total,10000000,2,95,CS_ARCH_M680X,CS_MODE_M680X_6811
Disassembled,10000000,2,95,CS_ARCH_M680X,CS_MODE_M680X_6811
Inflated,0,2,95,CS_ARCH_M680X,CS_MODE_M680X_6811
Both,0,2,95,CS_ARCH_M680X,CS_MODE_M680X_6811
Total,10000000,2,95,CS_ARCH_M680X,CS_MODE_M680X_CPU12
Disassembled,9936164,2,95,CS_ARCH_M680X,CS_MODE_M680X_CPU12
Inflated,0,2,95,CS_ARCH_M680X,CS_MODE_M680X_CPU12
Both,0,2,95,CS_ARCH_M680X,CS_MODE_M680X_CPU12
Total,10000000,2,95,CS_ARCH_M680X,CS_MODE_M680X_HCS08
Disassembled,10000000,2,95,CS_ARCH_M680X,CS_MODE_M680X_HCS08
Inflated,0,2,95,CS_ARCH_M680X,CS_MODE_M680X_HCS08
Both,0,2,95,CS_ARCH_M680X,CS_MODE_M680X_HCS08
Total,10000000,2,95,CS_ARCH_EVM,CS_MODE_LITTLE_ENDIAN
Disassembled,1627082,2,95,CS_ARCH_EVM,CS_MODE_LITTLE_ENDIAN
Inflated,0,2,95,CS_ARCH_EVM,CS_MODE_LITTLE_ENDIAN
Both,0,2,95,CS_ARCH_EVM,CS_MODE_LITTLE_ENDIAN
Total,10000000,2,95,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65C02
Disassembled,5411143,2,95,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65C02
Inflated,0,2,95,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65C02
Both,0,2,95,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65C02
Total,10000000,2,95,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_W65C02
Disassembled,5234151,2,95,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_W65C02
Inflated,0,2,95,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_W65C02
Both,0,2,95,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_W65C02
Total,10000000,2,95,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_M
Disassembled,5029532,2,95,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_M
